epoch,acc,loss
0,0.10739058327770361,5.322932419694155
0,0.11675520833333333,5.2758558616638185
0,0.09413698886303191,5.4032117382008975
0,0.09578104222074468,5.401670696887564
0,0.10293598361523812,5.362520085889741
1,0.13111446903081936,5.120855657394323
2,0.22128146794219475,4.633642727372337
3,0.24463328727557834,4.4039690508007325
4,0.2610787426011037,4.241798390102925
5,0.1324412181636708,5.106106248952575
5,0.27890520610592584,4.071302553469485
6,0.31646108339455997,3.7054852003400978
7,0.33927713453092356,3.4561256143179806
8,0.35517108169468964,3.2772747576236725
9,0.36818756332451646,3.136078902266242
10,0.37703145820308814,3.062761132012714
11,0.3868910853158344,2.929119436578317
12,0.39584987034851854,2.82963483848355
13,0.4036388708786531,2.742860669439489
14,0.4110048677433621,2.6607198891314594
15,0.41550384512679145,2.633581044999036
16,0.4259640293365175,2.524114778096026
17,0.4332569136538289,2.4517977183515374
18,0.4421739237891002,2.3835740360346707
19,0.4518116026778113,2.3058685741641303
20,0.45287694240158255,2.307832556692037
21,0.46672376296059653,2.208123422481797
22,0.46787004867060616,2.204528683288531
23,0.4809230872514573,2.110531498085369
24,0.4891638107259165,2.0498451475392687
25,0.4923650556328622,2.0434222505851225
26,0.5061544330621307,1.9533366459337147
27,0.513977377590808,1.9041662060401656
28,0.5226097721606493,1.8523098359053785
29,0.5310123867609284,1.8053781816905194
30,0.5309366646476767,1.8103113784031435
31,0.546042048456994,1.721942049535838
32,0.5546718307516791,1.6754559000784701
33,0.5639648457819765,1.628769615157084
34,0.5731403543190523,1.5852691212838346
35,0.5708086136728525,1.5983282110907815
36,0.5865458940917795,1.5177730267698115
37,0.5944993942975998,1.4756887738000264
38,0.6027714525434104,1.4403911910273812
39,0.6112210686233911,1.3983913389119236
40,0.6070850393311544,1.4208347302946178
41,0.622741373763843,1.341128421100703
42,0.6302953707900915,1.3093349967490544
43,0.6377684243700721,1.2746707241643558
44,0.6441500258039344,1.2462824047966437
45,0.6394761047241363,1.2671804529699413
46,0.6545371003448963,1.1975082104856318
47,0.662010152570226,1.1685173362493515
48,0.6687938642095436,1.1355598098175093
49,0.6755070801485669,1.1090281683612953
